lambda,obj,variance,sigma,return,selected_assets
0.0,-0.00892458999999999,0.002553779114477802,0.050534929647500275,0.00892458999999999,"2,14,34,42,43,67,76,82,89,95"
0.02040816326530612,-0.008700555906205469,0.00256188059593086,0.05061502342122209,0.008935189999999975,"2,14,22,23,29,34,42,43,82,89"
0.04081632653061224,-0.008435818530945771,0.00255305099182825,0.050527724981719195,0.008903429999999985,"2,11,14,34,42,43,82,88,89,96"
0.061224489795918366,-0.008233573907405136,0.0025587328457157697,0.050583918844982444,0.008937419999999977,"2,14,20,22,34,42,43,57,82,89"
0.08163265306122448,-0.008011584900615133,0.0025608849674644495,0.05060518715966229,0.008951359999999985,"2,14,16,23,34,42,43,82,89,93"
0.1020408163265306,-0.0077182260221156625,0.0025498249832663685,0.05049579173818714,0.008885049999999983,"2,12,14,34,42,55,56,59,82,89"
0.12244897959183673,-0.007500031931194895,0.002475285622935436,0.04975224239102632,0.008891936706189825,"14,22,34,42,43,79,82,85,89,95"
0.14285714285714285,-0.007299791443548733,0.0023054994421006494,0.0480156166481349,0.00890067325782363,"2,14,23,34,36,42,69,82,85,89"
0.16326530612244897,-0.007063425437829485,0.002159954682618825,0.04647531261453574,0.008863109363770619,"2,14,23,34,42,43,50,82,86,89"
0.18367346938775508,-0.006815652611206463,0.0020824404334306144,0.04563376418213398,0.008817723546249805,"2,14,18,34,42,43,56,57,82,89"
0.2040816326530612,-0.006608024005591057,0.0019720746993103925,0.04440804768631911,0.008808049314540146,"2,14,22,34,41,42,76,82,85,89"
0.22448979591836732,-0.006403479227944006,0.001876883877683539,0.04332301787368395,0.008800426442730927,"2,11,14,22,34,42,43,82,89,93"
0.24489795918367346,-0.006190194419198409,0.0018068565145360441,0.042507134866232095,0.008783832559869042,"2,14,19,20,34,42,43,82,89,93"
0.26530612244897955,-0.005951714178183156,0.001734822083575463,0.041651195463941526,0.008727407828262656,"2,14,34,38,42,43,59,67,82,89"
0.2857142857142857,-0.005748072343305218,0.0016794272874885486,0.04098081609105105,0.008719072195622724,"2,5,14,23,34,42,61,82,85,89"
0.3061224489795918,-0.0055263291633646855,0.0016378909380589852,0.04047086529911345,0.008687014502228068,"5,14,22,34,42,76,82,85,89,93"
0.32653061224489793,-0.005339514307803036,0.0016511511223481399,0.0406343588893456,0.008728927849694514,"2,14,23,34,42,43,69,82,85,89"
0.3469387755102041,-0.005095937644670449,0.0016069348672460512,0.04008659211314989,0.00865683866662609,"2,7,14,34,40,42,43,56,82,89"
0.36734693877551017,-0.004904760757667204,0.0015948863214719248,0.03993602786297011,0.008678749384264117,"2,14,20,34,42,61,69,82,85,89"
0.3877551020408163,-0.004709255009858113,0.001567158678535464,0.03958735503333689,0.008684317012507378,"2,14,23,34,42,79,82,85,89,93"
0.4081632653061224,-0.004479226507391931,0.0015598084913317858,0.039494410887260814,0.008644078230649666,"14,19,23,34,42,43,66,72,82,89"
0.42857142857142855,-0.004292160649291844,0.0014884865193710935,0.038580908742162794,0.008627646025789045,"2,14,16,22,23,34,42,82,89,93"
0.44897959183673464,-0.004082551102785135,0.001402917206286866,0.037455536390323736,0.00855219194721417,"2,14,22,34,42,43,66,82,85,89"
0.4693877551020408,-0.0038810345894656696,0.00132614911203201,0.03641633029331772,0.008487389402329001,"2,14,34,42,43,59,76,82,85,89"
0.4897959183673469,-0.0036899473780955525,0.0012601022890456107,0.035497919503058355,0.00844199505855107,"2,14,22,23,34,42,76,82,89,93"
0.5102040816326531,-0.0034957729811605333,0.0012068017070204315,0.034739051613716106,0.008394288281349038,"2,14,20,23,34,36,42,43,82,89"
0.5306122448979591,-0.0033005488861302134,0.001166883877327058,0.03415968204370553,0.008350690270907997,"2,14,23,34,42,43,76,82,89,93"
0.5510204081632653,-0.003106927569844618,0.001111795749650165,0.033343601329942824,0.008284451643770032,"2,14,20,22,23,34,42,76,82,89"
0.5714285714285714,-0.002910954351293238,0.0010668514555372257,0.032662692104865235,0.008214695427067188,"2,20,23,34,42,82,85,86,89,93"
0.5918367346938775,-0.0027253032221683884,0.0010441262721606797,0.032312942796357616,0.008190975988945536,"2,14,20,23,34,42,66,76,82,89"
0.6122448979591836,-0.002537949501134268,0.001022375050512695,0.0319746000837023,0.008159514582682102,"2,14,23,34,36,42,66,76,82,89"
0.6326530612244897,-0.0023504428974975688,0.0010097153441080253,0.03177601838034503,0.008137382091373867,"2,23,34,36,42,43,76,82,85,89"
0.6530612244897959,-0.0021562063986649326,0.0009789376662762863,0.03128797958124312,0.00805765405031899,"2,14,22,34,42,66,76,82,89,95"
0.673469387755102,-0.001979133703400606,0.0009481101315036591,0.030791397037219004,0.008016574112890652,"2,14,23,34,42,57,76,82,89,93"
0.6938775510204082,-0.0018042501749298478,0.0008814235516548211,0.02968877821087997,0.007891777288521763,"2,20,22,23,34,36,42,76,82,89"
0.7142857142857142,-0.001628131026672708,0.0007988859906921437,0.02826457129857348,0.007695673570084834,"2,20,23,34,36,42,76,82,89,93"
0.7346938775510203,-0.0014574780472701096,0.0007269120459981984,0.026961306459409536,0.007506558305551575,"2,20,22,23,34,36,42,76,82,89"
0.7551020408163265,-0.0012917155424374235,0.0006664755239281946,0.025816187246148387,0.007329471330398077,"2,20,23,34,36,42,76,82,89,93"
0.7755102040816326,-0.0011310074439655092,0.0006085550863399654,0.024668909305844176,0.007140405275929874,"2,20,22,23,34,36,42,76,82,89"
0.7959183673469387,-0.0009749276620130598,0.0005559133152718383,0.023577814047783103,0.006945207473424158,"2,20,23,34,36,42,76,82,83,89"
0.8163265306122448,-0.0008246380332102546,0.0005087244521489501,0.022554920796778476,0.0067506935236956046,"2,20,23,31,34,36,42,76,82,89"
0.836734693877551,-0.000673079571520073,0.00047817247724488116,0.021867155216097067,0.006573246321440459,"2,23,31,34,36,42,76,82,86,89"
0.8571428571428571,-0.0005399260748025959,0.0003958907805721047,0.01989700431150641,0.006154827207050797,"2,20,23,34,36,42,45,82,86,89"
0.8775510204081632,-0.00040950209319404266,0.00035303477067722636,0.01878921953347787,0.005874349617604802,"2,20,23,34,36,42,45,82,86,89"
0.8979591836734693,-0.0002834016323604374,0.00029445334043725523,0.017159642782915246,0.005368525392980127,"2,11,20,34,36,42,45,86,89,96"
0.9183673469387754,-0.00016124333724065154,0.0002896871981405109,0.01702019970918411,0.005234211860278723,"2,23,31,34,36,37,42,45,86,89"
0.9387755102040816,-5.9945161672485766e-05,0.0002168967595954109,0.014727415238099688,0.004304854621113563,"2,11,19,36,45,65,83,86,89,96"
0.9591836734693877,2.5474057702230747e-05,0.00018302059577169233,0.0135285104786777,0.0036768695869301123,"2,5,19,36,45,47,62,86,88,89"
0.9795918367346939,0.00010374771097932298,0.00015993182720465721,0.012646415587219061,0.0025930898678367177,"4,5,37,45,64,65,68,73,86,96"
1.0,0.0001436688878631333,0.0001436688878631333,0.011986195721042323,0.0019672216167490575,"19,28,37,41,62,64,65,68,72,73"
